Type1	Type2	Type3	Offense(Stab1,Stab2)	Defense(Stab1,Stab2)
'Normal', 'Fire'	'Water', 'Dark'	'Grass', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Water', 'None_Type'	'Grass', 'Poison'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Water', 'None_Type'	'Grass', 'Flying'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Water', 'None_Type'	'Grass', 'Psychic'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Water', 'None_Type'	'Grass', 'Dark'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Water', 'None_Type'	'Grass', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Fire'	'Fighting', 'Steel'	'Ground', 'Steel'	0.5, 2.0	0.5, 2.0
'Normal', 'Water'	'Normal', 'Grass'	'Fire', 'Psychic'	0.5, 1.0	1.0, 2.0
'Normal', 'Water'	'Normal', 'Grass'	'Fire', 'Dark'	0.5, 1.0	1.0, 2.0
'Normal', 'Water'	'Normal', 'Grass'	'Fire', 'Fairy'	0.5, 1.0	1.0, 2.0
'Normal', 'Water'	'Normal', 'Grass'	'Fire', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Water'	'Normal', 'Steel'	'Water', 'Flying'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Normal', 'Steel'	'Water', 'Psychic'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Normal', 'Steel'	'Water', 'Bug'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Normal', 'Steel'	'Water', 'Rock'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'Psychic'	'Grass', 'Flying'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'Psychic'	'Grass', 'None_Type'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'Dark'	'Grass', 'Poison'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'Dark'	'Grass', 'Flying'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'Dark'	'Grass', 'None_Type'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'Fairy'	'Grass', 'Flying'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'Fairy'	'Grass', 'Psychic'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'Fairy'	'Grass', 'None_Type'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'None_Type'	'Grass', 'Poison'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'None_Type'	'Grass', 'Flying'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'None_Type'	'Grass', 'Psychic'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'None_Type'	'Grass', 'Dark'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Fire', 'None_Type'	'Grass', 'None_Type'	1.0, 2.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Poison'	'Water', 'Flying'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Poison'	'Water', 'Rock'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Poison'	'Water', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Poison'	'Water', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Poison'	'Ice', 'Dragon'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Flying'	'Water', 'Psychic'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Flying'	'Water', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Flying'	'Water', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Flying'	'Water', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Flying'	'Poison', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Flying'	'Flying', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Flying'	'Psychic', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Flying'	'Dark', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Flying'	'Steel', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Flying'	'Steel', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Psychic'	'Water', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Psychic'	'Water', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Psychic'	'Ice', 'Dragon'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Psychic'	'Flying', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Psychic'	'Steel', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Psychic'	'Steel', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Bug'	'Water', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Bug'	'Ice', 'Dragon'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Bug'	'Bug', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Bug'	'Steel', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Rock'	'Poison', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Dark'	'Water', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Dark'	'Ice', 'Dragon'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Fairy'	'Water', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'Fairy'	'Bug', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Water', 'None_Type'	'Ice', 'Dragon'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Bug', 'Steel'	'Dark', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Dark', 'Steel'	'Steel', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Water'	'Dark', 'Steel'	'Steel', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Normal', 'Steel'	'Electric', 'Psychic'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Normal', 'Steel'	'Electric', 'Bug'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Fire', 'Electric'	'Electric', 'Poison'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Fire', 'Electric'	'Electric', 'Psychic'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Fire', 'Electric'	'Electric', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Fire', 'Electric'	'Electric', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Fire', 'Steel'	'Electric', 'Psychic'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Ice'	'Electric', 'Poison'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Ice'	'Electric', 'Psychic'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Ice'	'Electric', 'Bug'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Ice'	'Electric', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Ice'	'Electric', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Ice'	'Electric', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Poison'	'Electric', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Poison'	'Electric', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Psychic'	'Electric', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Psychic'	'Electric', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Psychic'	'Ice', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Psychic'	'Steel', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Psychic'	'Steel', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Bug'	'Electric', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Bug'	'Ice', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Bug'	'Bug', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Bug'	'Steel', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Dark'	'Electric', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Fairy'	'Electric', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Electric', 'Fairy'	'Bug', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Ice', 'Steel'	'Steel', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Fighting', 'Dragon'	'Flying', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Electric'	'Bug', 'Steel'	'Dark', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Dark', 'Steel'	'Steel', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Electric'	'Dark', 'Steel'	'Steel', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Grass'	'Normal', 'Poison'	'Normal', 'Ground'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Normal', 'Poison'	'Ground', 'Dark'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Normal', 'Poison'	'Ground', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Normal', 'Ground'	'Poison', 'Psychic'	1.0, 2.0	0.5, 1.0
'Normal', 'Grass'	'Normal', 'Ground'	'Poison', 'Dark'	1.0, 2.0	0.5, 1.0
'Normal', 'Grass'	'Normal', 'Ground'	'Poison', 'Fairy'	1.0, 2.0	0.5, 1.0
'Normal', 'Grass'	'Normal', 'Ground'	'Poison', 'None_Type'	1.0, 2.0	0.5, 1.0
'Normal', 'Grass'	'Fire', 'Psychic'	'Water', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Fire', 'Dark'	'Water', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Fire', 'Dark'	'Ground', 'Fairy'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Fire', 'Fairy'	'Water', 'Psychic'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Fire', 'Fairy'	'Water', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Fire', 'None_Type'	'Water', 'Psychic'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Fire', 'None_Type'	'Water', 'Dark'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Fire', 'None_Type'	'Water', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Water', 'Steel'	'Grass', 'Psychic'	0.5, 1.0	0.5, 1.0
'Normal', 'Grass'	'Water', 'Fairy'	'Flying', 'Dark'	1.0, 2.0	0.5, 1.0
'Normal', 'Grass'	'Water', 'Fairy'	'Bug', 'Rock'	1.0, 2.0	0.5, 1.0
'Normal', 'Grass'	'Electric', 'Fighting'	'Psychic', 'Rock'	1.0	0.5, 2.0
'Normal', 'Grass'	'Electric', 'Fighting'	'Rock', 'Fairy'	1.0	0.5, 2.0
'Normal', 'Grass'	'Electric', 'Bug'	'Electric', 'Rock'	0.5, 1.0	0.5, 2.0
'Normal', 'Grass'	'Electric', 'Dragon'	'Grass', 'Psychic'	0.5, 1.0	0.5, 1.0
'Normal', 'Grass'	'Electric', 'Dragon'	'Grass', 'Rock'	0.5, 1.0	0.5, 1.0
'Normal', 'Grass'	'Electric', 'Dragon'	'Grass', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Grass'	'Electric', 'Dragon'	'Grass', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Grass'	'Grass', 'Psychic'	'Grass', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Grass'	'Grass', 'Psychic'	'Grass', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Grass'	'Grass', 'Psychic'	'Ground', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Grass'	'Grass', 'Dark'	'Grass', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Grass'	'Grass', 'Fairy'	'Grass', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Grass'	'Fighting', 'Dragon'	'Ground', 'Psychic'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Poison', 'Psychic'	'Ground', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Poison', 'Dark'	'Ground', 'Fairy'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Poison', 'Dark'	'Ground', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Poison', 'Fairy'	'Ground', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Poison', 'None_Type'	'Ground', 'Dark'	0.5, 1.0	1.0, 2.0
'Normal', 'Grass'	'Poison', 'None_Type'	'Ground', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Ice'	'Normal', 'Ground'	'Fire', 'Ground'	1.0, 2.0	1.0
'Normal', 'Ice'	'Normal', 'Ground'	'Fire', 'Dragon'	1.0, 2.0	1.0
'Normal', 'Ice'	'Fire', 'Grass'	'Poison', 'Ground'	1.0	1.0, 2.0
'Normal', 'Ice'	'Fire', 'Ground'	'Ground', 'Psychic'	1.0	1.0, 2.0
'Normal', 'Ice'	'Fire', 'Ground'	'Ground', 'Dark'	1.0	1.0, 2.0
'Normal', 'Ice'	'Fire', 'Ground'	'Ground', 'None_Type'	1.0	1.0, 2.0
'Normal', 'Ice'	'Fire', 'Dragon'	'Poison', 'Ground'	1.0	1.0, 2.0
'Normal', 'Ice'	'Fire', 'Dragon'	'Ground', 'Psychic'	1.0	1.0, 2.0
'Normal', 'Ice'	'Fire', 'Dragon'	'Ground', 'Dark'	1.0	1.0, 2.0
'Normal', 'Ice'	'Fire', 'Dragon'	'Ground', 'None_Type'	1.0	1.0, 2.0
'Normal', 'Ice'	'Electric', 'Ice'	'Ice', 'Poison'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Electric', 'Ice'	'Ice', 'Psychic'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Electric', 'Ice'	'Ice', 'Bug'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Electric', 'Ice'	'Ice', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Electric', 'Ice'	'Ice', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Electric', 'Ice'	'Ice', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Ice', 'Poison'	'Ice', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Ice', 'Poison'	'Ice', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Ice', 'Psychic'	'Ice', 'Fairy'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Ice', 'Psychic'	'Ice', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Ice', 'Bug'	'Ice', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Ice', 'Dark'	'Ice', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Ice'	'Ice', 'Fairy'	'Ice', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Fighting'	'Normal', 'Flying'	'Fire', 'Ice'	1.0	1.0, 2.0
'Normal', 'Fighting'	'Normal', 'Flying'	'Water', 'Ice'	1.0	1.0, 2.0
'Normal', 'Fighting'	'Normal', 'Flying'	'Ice', 'Dragon'	1.0	1.0, 2.0
'Normal', 'Fighting'	'Normal', 'Flying'	'Ice', 'None_Type'	1.0	1.0, 2.0
'Normal', 'Fighting'	'Normal', 'Bug'	'Grass', 'Poison'	1.0	0.5, 1.0
'Normal', 'Fighting'	'Fire', 'Flying'	'Water', 'Dark'	0.5, 1.0	1.0, 2.0
'Normal', 'Fighting'	'Fire', 'Flying'	'Electric', 'Dark'	0.5, 1.0	1.0, 2.0
'Normal', 'Fighting'	'Fire', 'Dark'	'Grass', 'Flying'	1.0, 2.0	0.5, 1.0
'Normal', 'Fighting'	'Fire', 'Dark'	'Flying', 'Steel'	1.0, 2.0	0.5, 1.0
'Normal', 'Fighting'	'Water', 'Bug'	'Bug', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Fighting'	'Electric', 'Bug'	'Bug', 'Steel'	0.5, 1.0	0.5, 1.0
'Normal', 'Fighting'	'Electric', 'Dark'	'Flying', 'None_Type'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Normal', 'Ground'	'Grass', 'Dragon'	0.5, 1.0	1.0, 2.0
'Normal', 'Poison'	'Normal', 'Ground'	'Grass', 'Dark'	0.5, 1.0	1.0, 2.0
'Normal', 'Poison'	'Normal', 'Ground'	'Grass', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Poison'	'Normal', 'Fairy'	'Ground', 'Dark'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Fire', 'Grass'	'Electric', 'Ground'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Fire', 'Poison'	'Electric', 'Poison'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Fire', 'Poison'	'Poison', 'Flying'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Fire', 'Poison'	'Poison', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Fire', 'Poison'	'Poison', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Water', 'Poison'	'Poison', 'Flying'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Water', 'Poison'	'Poison', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Water', 'Poison'	'Poison', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Water', 'Fairy'	'Ice', 'Ground'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Electric', 'Poison'	'Grass', 'Rock'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Electric', 'Poison'	'Ice', 'Poison'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Electric', 'Poison'	'Poison', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Electric', 'Poison'	'Poison', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Grass', 'Ice'	'Ice', 'Ground'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Grass', 'Fighting'	'Fighting', 'Ground'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Grass', 'Fighting'	'Ground', 'None_Type'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Grass', 'Dragon'	'Fighting', 'Ground'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Grass', 'Dragon'	'Ground', 'Dark'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Grass', 'Dragon'	'Ground', 'None_Type'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Grass', 'Dark'	'Ground', 'None_Type'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Grass', 'None_Type'	'Fighting', 'Ground'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Grass', 'None_Type'	'Ground', 'Dark'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Grass', 'None_Type'	'Ground', 'None_Type'	1.0, 2.0	0.5, 1.0
'Normal', 'Poison'	'Ice', 'Poison'	'Fighting', 'Poison'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Ice', 'Poison'	'Poison', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Ice', 'Poison'	'Poison', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Fighting', 'Ground'	'Fighting', 'Fairy'	0.5, 1.0	1.0, 2.0
'Normal', 'Poison'	'Fighting', 'Ground'	'Dragon', 'Fairy'	0.5, 1.0	1.0, 2.0
'Normal', 'Poison'	'Fighting', 'Ground'	'Fairy', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Poison'	'Poison', 'Flying'	'Poison', 'Dragon'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Poison', 'Flying'	'Poison', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Poison', 'Flying'	'Poison', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Poison', 'Dragon'	'Poison', 'Dark'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Poison', 'Dragon'	'Poison', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Poison', 'Dark'	'Poison', 'None_Type'	0.5, 1.0	0.5, 1.0
'Normal', 'Poison'	'Ground', 'Dark'	'Dragon', 'Fairy'	0.5, 1.0	1.0, 2.0
'Normal', 'Poison'	'Ground', 'Dark'	'Fairy', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Ground'	'Normal', 'Bug'	'Poison', 'Bug'	0.5, 1.0	1.0
'Normal', 'Ground'	'Fire', 'Ground'	'Ice', 'Psychic'	1.0, 2.0	1.0
'Normal', 'Ground'	'Fire', 'Ground'	'Ice', 'Dark'	1.0, 2.0	1.0
'Normal', 'Ground'	'Fire', 'Ground'	'Ice', 'None_Type'	1.0, 2.0	1.0
'Normal', 'Ground'	'Fire', 'Dragon'	'Ice', 'Psychic'	1.0, 2.0	1.0
'Normal', 'Ground'	'Fire', 'Dragon'	'Ice', 'Dark'	1.0, 2.0	1.0
'Normal', 'Ground'	'Fire', 'Dragon'	'Ice', 'None_Type'	1.0, 2.0	1.0
'Normal', 'Ground'	'Electric', 'Flying'	'Ground', 'Ghost'	0.0, 1.0	0.0, 1.0
'Normal', 'Ground'	'Grass', 'Dragon'	'Poison', 'Psychic'	0.5, 1.0	1.0, 2.0
'Normal', 'Ground'	'Grass', 'Dragon'	'Poison', 'Dark'	0.5, 1.0	1.0, 2.0
'Normal', 'Ground'	'Grass', 'Dragon'	'Poison', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Ground'	'Grass', 'Dark'	'Poison', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Ground'	'Grass', 'None_Type'	'Poison', 'Psychic'	0.5, 1.0	1.0, 2.0
'Normal', 'Ground'	'Grass', 'None_Type'	'Poison', 'Dark'	0.5, 1.0	1.0, 2.0
'Normal', 'Ground'	'Grass', 'None_Type'	'Poison', 'Fairy'	0.5, 1.0	1.0, 2.0
'Normal', 'Ground'	'Grass', 'None_Type'	'Poison', 'None_Type'	0.5, 1.0	1.0, 2.0
'Normal', 'Ground'	'Poison', 'Bug'	'Bug', 'Dragon'	1.0	0.5, 1.0
'Normal', 'Ground'	'Poison', 'Bug'	'Bug', 'None_Type'	1.0	0.5, 1.0
'Normal', 'Flying'	'Fire', 'Ice'	'Fighting', 'Poison'	1.0	1.0, 2.0
'Normal', 'Flying'	'Fire', 'Ice'	'Fighting', 'Psychic'	1.0	1.0, 2.0
